Time,Amplitude,Heart_Rate,SPO2,Blood_Pressure,Temperature
57.708,0.615,146,93.0,119/75,36.6
57.712,0.625,153,91.2,117/81,37.4
57.716,0.635,131,93.9,119/79,36.3
57.72,0.63,157,93.6,119/79,37.1
57.724,0.6,145,91.1,100/84,37.3
57.728,0.555,153,92.2,138/70,37.4
57.732,0.545,132,89.7,108/84,37.4
57.736,0.565,138,92.4,132/75,36.7
57.74,0.57,122,94.2,139/76,37.1
57.744,0.565,142,93.7,121/88,37.0
57.748,0.575,154,92.0,106/80,36.9
57.752,0.505,101,92.9,124/85,37.1
57.756,0.485,165,91.1,131/70,37.3
57.76,0.49,137,89.7,116/79,37.3
57.764,0.45,128,90.1,112/79,36.1
57.768,0.46,166,95.9,127/72,36.5
57.772,0.425,170,89.2,136/72,36.1
57.776,0.455,135,92.9,125/73,37.4
57.78,0.41,128,90.4,106/87,36.1
57.784,0.4,136,88.9,133/82,36.1
57.788,0.375,144,95.1,134/78,36.2
57.792,0.34,115,89.8,130/73,37.4
57.796,0.36,130,95.5,102/74,37.2
57.8,0.31,133,93.1,102/78,37.2
57.804,0.315,149,94.7,123/84,36.8
57.808,0.31,164,88.7,138/86,37.0
57.812,0.27,161,91.9,127/78,37.2
57.816,0.27,142,91.5,128/82,36.1
57.82,0.315,155,93.0,123/70,37.1
57.824,0.315,114,93.3,119/86,37.2
57.828,0.28,147,95.9,116/70,37.2
57.832,0.25,148,91.8,116/83,36.6
57.836,0.2,143,90.8,102/88,36.9
57.84,0.18,109,88.8,134/81,36.9
57.844,0.12,119,88.5,117/71,37.2
57.848,0.14,169,90.1,104/83,37.1
57.852,0.175,107,93.2,107/81,36.0
57.856,0.15,144,90.1,110/83,37.3
57.86,0.17,133,92.7,133/72,36.5
57.864,0.18,150,93.0,137/71,36.2
57.868,0.205,103,88.7,138/79,36.1
57.872,0.175,138,90.4,136/74,36.0
57.876,0.14,123,90.1,124/70,36.8
57.88,0.145,154,92.5,137/72,36.5
57.884,0.15,125,93.6,138/86,37.0
57.888,0.17,124,93.7,121/84,36.5
57.892,0.2,135,89.5,139/70,36.6
57.896,0.22,170,92.2,127/73,37.4
57.9,0.225,173,90.0,118/83,36.6
57.904,0.19,157,95.7,122/82,36.4
57.908,0.185,111,89.6,118/71,36.1
57.912,0.23,100,94.2,131/79,36.9
57.916,0.235,149,93.5,129/71,36.6
57.92,0.25,124,95.7,139/74,36.0
57.924,0.225,179,92.8,132/87,36.0
57.928,0.23,104,95.9,124/82,37.4
57.932,0.225,167,91.9,111/86,36.3
57.936,0.195,105,90.2,112/81,36.0
57.94,0.145,125,94.1,120/75,37.4
57.944,0.17,154,95.4,116/88,36.1
57.948,0.2,138,89.9,114/74,36.1
57.952,0.185,108,94.0,136/75,36.7
57.956,0.16,144,94.0,126/76,37.5
57.96,0.155,113,93.8,106/76,36.2
57.964,0.105,154,91.5,120/77,36.8
57.968,0.1,108,92.4,101/71,37.0
57.972,0.09,114,89.8,129/88,36.9
57.976,0.085,136,90.7,130/89,36.4
57.98,0.14,149,88.4,107/72,37.2
57.984,0.165,171,94.2,134/89,37.2
57.988,0.155,120,92.0,106/89,37.0
57.992,0.135,156,91.3,123/85,36.7
57.996,0.08,118,88.9,131/78,36.7
58.0,0.04,157,93.9,105/80,36.2
58.004,0.015,105,89.0,116/89,36.3
58.008,0.035,103,89.8,136/73,37.4
58.012,0.11,142,94.9,118/89,36.2
58.016,0.155,141,91.0,100/80,36.7
58.02,0.1,102,91.1,134/88,36.5
58.024,0.04,100,93.1,134/83,36.8
58.028,0.015,154,94.4,128/74,36.4
58.032,0.005,114,88.8,107/87,36.0
58.036,-0.005,146,95.3,108/87,36.7
58.04,-0.035,145,92.3,105/82,36.1
58.044,-0.02,157,94.7,120/89,36.2
58.048,0.02,170,92.0,131/87,36.1
58.052,0.0,138,92.9,136/74,36.3
58.056,0.015,102,95.2,112/71,36.6
58.06,0.04,129,95.2,126/86,36.2
58.064,0.085,134,95.5,111/88,36.2
58.068,0.115,156,89.9,127/83,36.0
58.072,0.135,128,92.8,139/75,37.3
58.076,0.155,149,91.0,138/88,37.0
58.08,0.165,161,88.4,115/85,36.7
58.084,0.175,151,95.1,117/76,36.9
58.088,0.195,113,90.3,127/81,37.4
58.092,0.165,134,95.4,133/73,36.2
58.096,0.195,127,94.8,134/80,36.5
58.1,0.15,157,89.8,116/89,36.2
58.104,0.135,129,93.2,136/86,36.8
58.108,0.11,106,94.9,137/71,36.8
58.112,0.09,138,95.3,135/86,36.5
58.116,0.06,168,94.0,103/86,36.7
58.12,0.09,134,91.8,134/85,36.2
58.124,0.08,151,93.4,105/70,37.4
58.128,0.07,113,88.5,118/77,37.4
58.132,0.04,162,93.8,130/79,36.6
58.136,0.05,135,89.0,106/82,36.6
58.14,0.01,123,93.1,123/79,37.4
58.144,-0.02,139,88.2,119/78,37.4
58.148,-0.03,128,95.5,128/75,37.4
58.152,-0.045,152,89.9,106/80,36.7
58.156,-0.005,121,94.1,103/79,36.3
58.16,0.04,171,88.0,109/81,36.7
58.164,0.11,114,95.6,101/86,36.6
58.168,0.19,168,92.3,119/74,36.1
58.172,0.225,163,94.4,118/79,36.2
58.176,0.25,103,95.3,100/77,37.3
58.18,0.195,174,95.7,122/89,37.5
58.184,0.135,117,91.1,114/89,37.4
58.188,0.12,141,89.5,102/87,36.7
58.192,0.085,129,94.0,108/75,36.9
58.196,0.075,114,95.3,115/88,36.7
58.2,0.065,169,88.9,127/74,37.1
58.204,0.04,154,95.4,115/87,36.7
58.208,-0.01,152,89.3,124/72,36.3
58.212,-0.015,115,91.7,114/78,36.1
58.216,0.0,172,91.0,135/88,36.6
58.22,-0.025,133,89.2,120/84,36.1
58.224,-0.005,126,92.0,115/84,36.4
58.228,-0.03,112,92.2,116/77,36.9
58.232,0.015,126,95.7,131/82,36.3
58.236,0.08,172,94.4,109/82,36.7
58.24,0.08,168,89.3,116/74,36.2
58.244,0.025,130,89.3,102/74,37.3
58.248,0.015,102,88.9,109/70,37.1
58.252,0.025,129,92.7,131/74,37.3
58.256,-0.015,120,93.2,121/87,37.4
58.26,-0.05,105,94.2,104/88,36.5
58.264,-0.02,131,94.1,127/74,37.3
58.268,0.02,141,93.0,102/73,36.9
58.272,0.065,161,91.6,106/83,36.4
58.276,0.095,131,90.5,123/77,36.7
58.28,0.1,138,92.9,122/72,37.0
58.284,0.105,163,91.2,123/81,37.1
58.288,0.11,129,91.0,123/72,36.3
58.292,0.11,162,94.2,109/89,36.5
58.296,0.095,130,89.6,109/71,36.9
58.3,0.1,139,94.3,135/72,36.9
58.304,0.03,132,90.1,108/70,37.3
58.308,0.06,162,92.1,129/73,36.8
58.312,0.075,124,91.5,105/72,36.3
58.316,0.095,135,88.3,136/87,36.1
58.32,0.095,123,88.3,125/88,37.1
58.324,0.135,157,90.1,110/81,37.4
58.328,0.13,138,95.5,138/81,36.4
58.332,0.135,145,89.6,108/76,37.0
58.336,0.11,176,91.4,125/85,36.3
58.34,0.075,109,94.7,114/79,37.4
58.344,0.07,131,95.3,139/88,37.4
58.348,0.05,135,88.5,117/89,36.9
58.352,0.02,127,89.0,103/83,37.1
58.356,0.065,115,89.2,134/70,36.5
58.36,0.13,115,93.8,102/85,36.1
58.364,0.1,117,88.6,101/89,36.8
58.368,0.065,107,88.0,131/81,36.1
58.372,0.055,179,94.1,139/70,36.2
58.376,0.02,174,94.3,138/74,37.4
58.38,0.0,169,93.2,115/82,37.3
58.384,-0.07,100,95.7,117/77,37.0
58.388,-0.06,161,89.3,127/79,37.2
58.392,0.055,175,91.1,126/79,37.1
58.396,0.07,137,93.7,114/85,37.0
58.4,0.115,144,92.1,119/80,36.2
58.404,0.12,157,89.6,119/82,36.8
58.408,0.12,100,94.8,106/74,36.8
58.412,0.08,131,94.5,127/79,36.3
58.416,0.09,107,89.4,104/76,36.3
58.42,0.09,139,92.4,101/85,36.7
58.424,0.16,155,88.4,114/79,37.2
58.428,0.155,162,93.7,121/80,36.2
58.432,0.16,173,89.0,120/89,36.8
58.436,0.19,173,91.1,132/75,37.5
58.44,0.2,135,88.1,115/87,36.9
58.444,0.17,156,90.8,120/74,37.3
58.448,0.105,173,89.6,115/78,36.4
58.452,0.055,144,90.5,113/84,37.3
58.456,0.06,178,88.7,106/82,37.3
58.46,0.065,179,88.7,107/84,36.9
58.464,0.1,101,93.0,121/74,36.9
58.468,0.09,167,92.3,137/88,36.5
58.472,0.185,149,93.3,113/79,36.7
58.476,0.485,128,93.1,105/75,36.4
58.48,0.9,109,92.2,138/73,36.8
58.484,1.435,126,92.1,115/75,37.1
58.488,2.03,114,93.6,132/71,37.2
58.492,2.635,159,92.8,113/79,37.0
58.496,3.27,130,89.8,134/79,37.4
58.5,3.83,120,95.2,125/84,36.8
58.504,4.1,159,93.7,130/79,36.2
58.508,4.27,157,93.4,139/74,37.4
58.512,4.14,140,89.0,130/83,37.5
58.516,3.5,145,95.9,101/74,36.7
58.52,2.86,144,95.3,124/70,36.4
58.524,2.52,125,95.2,112/79,36.6
58.528,1.88,150,90.6,100/73,36.1
58.532,1.24,135,95.3,103/76,37.4
58.536,0.6,151,93.4,128/89,36.3
58.54,-0.04,150,91.9,116/88,37.3
58.544,-0.68,102,91.0,114/87,37.5
58.548,-1.32,113,93.8,117/86,36.8
58.552,-1.715,148,94.0,118/71,36.8
58.556,-1.28,176,88.6,100/80,36.3
58.56,-0.995,100,91.0,119/79,37.3
58.564,-0.875,156,89.6,122/82,37.0
58.568,-0.735,116,90.2,124/86,36.9
58.572,-0.555,149,92.4,125/83,37.0
58.576,-0.455,113,90.2,117/87,37.0
58.58,-0.395,158,95.2,106/71,36.1
58.584,-0.35,102,89.8,111/81,36.5
58.588,-0.36,139,88.0,128/85,36.9
58.592,-0.35,165,93.9,134/89,37.2
58.596,-0.355,133,89.7,104/87,36.4
58.6,-0.39,108,89.2,136/86,37.4
58.604,-0.4,120,88.6,101/84,37.4
58.608,-0.405,124,88.6,117/73,37.5
58.612,-0.39,143,92.5,108/86,36.5
58.616,-0.41,124,92.5,128/72,37.3
58.62,-0.43,108,95.2,120/75,36.5
58.624,-0.46,161,95.4,122/88,36.1
58.628,-0.61,125,90.6,122/76,36.5
58.632,-0.635,156,94.8,103/74,37.2
58.636,-0.56,136,90.9,118/76,37.4
58.64,-0.49,115,92.8,105/73,36.4
58.644,-0.495,136,91.6,139/87,37.0
58.648,-0.52,175,94.1,126/74,37.1
58.652,-0.54,123,92.4,132/88,37.1
58.656,-0.555,125,90.5,107/74,36.8
58.66,-0.62,119,92.5,129/86,37.4
58.664,-0.645,108,94.4,121/73,36.2
58.668,-0.675,128,89.2,129/89,37.4
58.672,-0.705,130,88.9,111/81,36.6
58.676,-0.715,118,89.2,129/82,37.2
58.68,-0.69,119,92.2,115/83,37.3
58.684,-0.67,126,94.0,112/76,36.2
58.688,-0.71,143,94.3,125/86,37.0
58.692,-0.82,134,92.7,104/89,36.2
58.696,-0.945,170,88.5,110/82,37.4
58.7,-0.985,121,88.1,126/74,37.4
58.704,-1.0,173,91.2,102/86,36.3
58.708,-0.875,114,91.4,138/85,37.4
58.712,-0.81,112,92.2,105/72,36.4
58.716,-0.805,103,93.0,110/86,36.8
58.72,-0.875,155,91.4,106/87,36.3
58.724,-0.92,122,91.1,115/85,36.9
58.728,-0.865,133,93.8,118/72,36.0
58.732,-0.785,116,90.3,113/80,36.8
58.736,-0.75,127,89.9,118/89,36.6
58.74,-0.725,113,91.7,109/87,37.3
58.744,-0.785,133,93.6,119/84,36.6
58.748,-0.87,174,94.7,115/71,36.4
58.752,-0.89,156,88.7,120/83,37.1
58.756,-0.92,176,88.1,112/74,36.1
58.76,-0.97,154,89.5,122/83,36.4
58.764,-1.025,165,89.5,117/76,36.8
58.768,-1.06,136,90.7,131/78,36.1
58.772,-1.105,167,90.5,137/76,36.7
58.776,-1.2,175,92.0,116/77,36.2
58.78,-1.215,125,91.9,125/76,36.6
58.784,-1.235,160,96.0,139/84,37.2
58.788,-1.265,166,91.4,139/82,36.2
58.792,-1.33,173,92.6,108/74,36.9
58.796,-1.42,151,92.6,131/76,37.2
58.8,-1.475,117,94.1,106/81,36.0
58.804,-1.48,152,89.9,129/85,36.5
58.808,-1.43,162,95.5,132/88,36.8
58.812,-1.3,152,89.4,122/73,36.9
58.816,-1.2,126,89.7,104/77,36.7
58.82,-1.19,130,89.5,128/88,37.5
58.824,-1.215,100,88.8,100/72,37.1
58.828,-1.325,105,88.3,107/71,37.3
58.832,-1.35,110,89.3,136/87,36.9
58.836,-1.345,133,95.0,136/83,37.0
58.84,-1.345,162,88.3,105/75,36.6
58.844,-1.335,152,95.9,119/73,36.8
58.848,-1.375,117,93.2,134/85,37.0
58.852,-1.33,120,94.9,109/81,37.3
58.856,-1.275,118,91.9,119/89,37.4
58.86,-1.235,103,88.9,130/70,37.3
58.864,-1.235,176,94.5,125/81,36.9
58.868,-1.255,128,92.9,112/74,36.4
58.872,-1.205,124,94.4,134/83,36.3
58.876,-1.16,155,92.4,117/73,37.2
58.88,-1.085,176,88.5,102/84,36.1
58.884,-1.015,162,92.5,114/88,37.0
58.888,-0.965,126,89.2,120/85,37.4
58.892,-0.895,159,90.0,130/83,37.2
58.896,-0.815,148,92.8,132/80,37.3
58.9,-0.715,164,95.5,128/75,36.9
58.904,-0.62,137,95.5,123/80,36.2
58.908,-0.495,151,88.2,122/80,36.6
58.912,-0.415,100,92.9,138/80,36.3
58.916,-0.365,139,90.0,117/88,36.1
58.92,-0.3,120,93.4,128/85,36.0
58.924,-0.24,114,93.6,107/74,37.0
58.928,-0.16,149,91.0,111/72,36.7
58.932,-0.115,147,95.2,111/70,36.6
58.936,-0.05,131,88.7,130/76,36.6
58.94,0.01,148,94.7,122/79,36.3
58.944,0.07,167,91.1,113/73,37.4
58.948,0.13,144,93.3,138/78,36.3
58.952,0.14,131,91.7,103/77,36.2
58.956,0.2,103,95.7,123/70,37.1
58.96,0.265,164,95.2,102/74,37.4
58.964,0.325,170,89.5,115/76,36.4
58.968,0.395,172,92.1,123/76,36.7
58.972,0.39,164,91.8,120/78,37.5
58.976,0.42,179,94.4,133/86,36.3
58.98,0.45,117,91.6,129/75,37.1
58.984,0.455,153,94.4,117/70,36.3
58.988,0.48,146,92.8,133/78,37.3
58.992,0.505,105,94.1,121/89,36.2
58.996,0.5,165,95.9,139/73,36.2
59.0,0.495,108,92.6,107/77,36.9
59.004,0.53,167,88.2,110/78,36.5
59.008,0.55,122,88.2,123/85,36.2
59.012,0.49,142,88.5,115/78,37.0
59.016,0.5,150,90.8,111/74,36.7
59.02,0.52,171,88.3,108/82,36.6
59.024,0.52,124,93.9,130/75,36.9
59.028,0.515,179,93.7,112/76,37.1
59.032,0.485,134,94.7,131/87,36.6
59.036,0.515,116,95.7,131/88,37.3
59.04,0.54,117,88.3,105/84,36.1
59.044,0.565,126,91.2,100/83,36.1
59.048,0.635,114,91.2,139/72,36.3
59.052,0.63,168,93.2,102/86,36.7
59.056,0.555,179,94.2,124/81,36.4
59.06,0.44,114,88.5,129/70,36.6
59.064,0.41,141,95.0,132/78,36.8
59.068,0.425,133,92.1,114/83,36.1
59.072,0.52,147,94.4,121/88,36.7
59.076,0.62,107,95.4,113/81,36.7
59.08,0.67,109,95.0,102/82,37.4
59.084,0.63,104,95.1,119/83,36.4
59.088,0.595,147,91.1,133/76,36.9
59.092,0.515,125,88.9,137/73,37.0
59.096,0.52,122,88.4,129/78,36.8
59.1,0.505,161,88.4,120/72,37.2
59.104,0.47,112,93.8,107/80,36.1
59.108,0.5,108,93.2,111/82,36.7
59.112,0.495,119,95.6,116/74,37.5
59.116,0.505,156,95.9,102/84,37.4
59.12,0.475,123,88.8,112/79,37.0
59.124,0.435,132,88.8,128/78,37.5
59.128,0.44,119,95.4,133/82,37.2
59.132,0.415,159,94.7,101/83,36.8
59.136,0.36,147,92.8,100/79,36.7
59.14,0.4,163,91.4,131/81,37.3
59.144,0.4,129,95.6,115/86,36.8
59.148,0.465,172,90.3,115/72,36.3
59.152,0.47,116,94.6,115/89,37.2
59.156,0.38,113,90.4,136/82,37.2
59.16,0.36,118,90.6,119/71,36.5
59.164,0.345,170,93.0,127/87,37.0
59.168,0.33,158,91.1,103/71,37.2
59.172,0.33,166,95.2,134/82,37.5
59.176,0.305,143,94.1,128/73,36.8
59.18,0.235,131,94.9,119/84,37.1
59.184,0.2,110,94.9,102/76,36.4
59.188,0.175,101,88.6,100/81,36.5
59.192,0.12,167,94.4,123/74,37.4
59.196,0.11,116,95.3,115/74,36.2
59.2,0.105,139,93.8,138/76,37.2
59.204,0.12,145,90.2,100/73,37.4
59.208,0.125,103,90.6,104/83,37.4
59.212,0.08,137,89.0,122/77,36.7
59.216,0.08,162,92.8,125/77,36.4
59.22,0.095,128,89.5,132/83,37.2
59.224,0.105,118,90.8,137/77,37.1
59.228,0.115,128,92.0,134/86,36.7
59.232,0.105,134,89.2,123/81,36.8
59.236,0.09,169,95.1,111/82,36.1
59.24,0.1,122,94.4,105/83,36.3
59.244,0.09,145,90.7,108/70,36.8
59.248,0.09,143,90.1,105/80,36.8
59.252,0.11,147,91.3,122/74,37.2
59.256,0.135,151,93.2,131/80,37.4
59.26,0.185,107,89.9,137/81,37.0
59.264,0.265,154,95.5,136/78,37.1
59.268,0.265,165,92.0,106/76,36.0
59.272,0.23,176,89.5,108/70,37.0
59.276,0.2,139,93.1,111/74,36.4
59.28,0.185,130,92.4,129/89,37.0
59.284,0.185,147,95.3,102/75,36.5
59.288,0.17,160,90.5,136/73,37.4
59.292,0.24,151,92.3,114/72,37.4
59.296,0.36,137,90.1,125/73,36.6
59.3,0.385,135,90.8,112/86,37.3
59.304,0.375,154,93.9,134/87,36.1
59.308,0.325,112,93.5,118/83,36.7
59.312,0.3,136,92.1,132/84,37.4
59.316,0.275,146,89.7,135/71,37.5
59.32,0.255,170,93.9,114/78,37.5
59.324,0.23,121,94.7,137/85,36.1
59.328,0.215,138,94.3,119/87,36.9
59.332,0.24,157,94.3,131/86,37.0
59.336,0.22,129,89.1,114/83,37.3
59.34,0.225,117,92.9,101/85,37.1
59.344,0.245,117,92.2,104/81,36.7
59.348,0.25,173,92.1,128/80,37.3
59.352,0.19,138,94.5,125/84,36.1
59.356,0.135,125,92.0,108/86,36.4
59.36,0.12,170,92.5,133/79,36.4
59.364,0.125,106,93.0,126/87,37.2
59.368,0.125,168,94.9,127/77,36.4
59.372,0.165,164,94.9,100/70,36.4
59.376,0.135,145,90.6,111/74,36.6
59.38,0.15,117,89.0,131/85,36.4
59.384,0.13,112,90.9,114/74,37.1
59.388,0.095,124,89.1,108/82,37.1
59.392,0.08,107,95.3,104/82,36.6
59.396,0.08,173,92.3,105/74,36.3
59.4,0.115,131,95.9,119/81,37.0
59.404,0.095,116,90.8,129/74,37.3
59.408,0.11,178,91.9,139/85,37.2
59.412,0.105,178,88.6,127/78,37.2
59.416,0.05,147,95.3,135/87,37.2
59.42,0.06,162,93.1,130/78,37.0
59.424,0.08,139,92.3,103/71,36.9
59.428,0.075,114,88.8,136/74,36.1
59.432,0.095,105,90.9,130/75,36.3
59.436,0.085,162,94.5,116/73,37.4
59.44,0.1,107,90.0,108/78,36.3
59.444,0.145,131,90.2,114/77,36.5
59.448,0.2,144,88.3,130/70,36.9
59.452,0.24,151,92.0,111/86,36.8
59.456,0.285,178,91.8,104/87,36.1
59.46,0.275,112,93.4,123/70,37.2
59.464,0.22,123,93.2,116/80,36.9
59.468,0.2,139,94.6,106/79,36.6
59.472,0.225,113,89.3,133/76,37.0
59.476,0.24,174,89.4,106/72,37.3
59.48,0.265,169,94.0,124/78,37.2
59.484,0.26,161,91.7,101/87,36.1
59.488,0.24,160,95.2,102/70,36.4
59.492,0.245,100,95.9,128/77,36.1
59.496,0.245,165,90.4,127/81,36.0
59.5,0.22,131,90.9,131/74,36.0
59.504,0.2,112,95.7,116/79,36.2
59.508,0.17,132,91.3,101/76,36.3
59.512,0.2,131,91.6,120/83,36.9
59.516,0.205,155,93.5,102/73,37.2
59.52,0.205,123,89.2,138/73,37.5
59.524,0.23,103,89.9,100/86,37.4
59.528,0.245,122,94.5,116/85,37.2
59.532,0.255,128,95.0,110/89,37.3
59.536,0.22,120,91.7,109/83,37.0
59.54,0.145,129,92.9,110/77,37.1
59.544,0.13,119,92.8,109/88,37.3
59.548,0.19,115,95.2,136/71,36.5
59.552,0.31,166,94.9,133/74,37.2
59.556,0.29,148,94.2,100/89,36.1
59.56,0.24,157,92.9,125/70,36.7
59.564,0.205,143,91.1,111/73,36.9
59.568,0.175,124,89.4,123/77,37.2
59.572,0.18,122,95.9,126/82,36.3
59.576,0.145,158,93.7,131/73,37.0
59.58,0.13,100,95.8,118/83,36.8
59.584,0.2,114,89.6,124/83,36.6
59.588,0.22,151,92.1,133/77,37.4
59.592,0.22,157,92.0,101/70,36.8
59.596,0.205,140,89.2,109/72,36.4
59.6,0.21,143,93.4,129/70,36.2
59.604,0.19,103,95.1,124/70,37.1
59.608,0.145,176,89.2,127/71,36.1
59.612,0.18,167,90.6,119/83,37.3
59.616,0.2,106,88.7,125/80,37.0
59.62,0.16,145,92.4,107/71,37.4
59.624,0.16,108,88.5,111/79,36.7
59.628,0.145,132,95.0,131/78,36.5
59.632,0.175,132,90.2,115/73,37.2
59.636,0.2,103,95.3,114/74,36.2
59.64,0.2,164,95.7,106/72,36.2
59.644,0.185,133,91.8,128/89,37.2
59.648,0.225,178,94.7,128/87,37.2
59.652,0.265,163,88.8,110/74,36.6
59.656,0.28,124,92.5,123/79,37.2
59.66,0.325,154,93.0,138/83,36.0
59.664,0.27,108,89.3,101/73,36.9
59.668,0.25,116,91.7,129/73,37.3
59.672,0.255,120,95.5,102/77,36.7
59.676,0.25,159,94.3,108/79,36.3
59.68,0.31,112,89.4,106/89,36.4
59.684,0.375,102,94.5,111/78,37.3
59.688,0.375,167,93.5,114/79,36.0
59.692,0.38,103,88.8,121/88,36.3
59.696,0.42,106,89.0,134/83,37.3
59.7,0.375,125,90.2,117/83,36.8
59.704,0.35,174,95.9,138/80,36.5
59.708,0.365,123,90.4,124/82,37.4
59.712,0.375,109,93.4,124/80,37.2
59.716,0.42,112,95.6,133/85,36.0
59.72,0.435,143,90.4,129/86,36.5
59.724,0.435,138,91.2,123/72,36.7
59.728,0.34,118,91.3,105/88,36.2
59.732,0.43,150,93.9,100/76,36.0
59.736,0.735,118,89.2,123/78,36.6
59.74,1.195,175,90.6,108/79,36.5
59.744,1.83,151,91.2,119/72,37.5
59.748,2.465,146,89.7,130/85,36.2
59.752,3.1,129,92.7,134/83,36.1
59.756,3.735,145,89.0,135/87,37.2
59.76,4.37,175,91.7,112/70,36.6
59.764,4.565,120,93.7,139/85,36.2
59.768,4.695,174,92.5,111/87,36.3
59.772,4.13,147,93.2,139/79,36.0
59.776,3.49,161,95.3,101/85,36.6
59.78,2.85,157,93.4,135/87,37.3
59.784,2.21,117,94.7,112/89,36.9
59.788,1.57,158,94.9,111/86,36.3
59.792,0.93,147,90.4,137/73,37.3
59.796,0.29,162,96.0,101/87,36.9
59.8,-0.35,111,91.9,127/70,36.9
59.804,-0.99,133,92.9,124/83,36.8
59.808,-1.63,160,91.3,119/88,37.3
59.812,-1.35,152,95.1,128/70,36.5
59.816,-1.02,124,90.8,109/86,37.4
59.82,-0.77,161,94.5,133/75,36.0
59.824,-0.63,103,93.1,132/87,37.1
59.828,-0.52,112,90.6,129/76,36.4
59.832,-0.42,141,89.0,133/84,36.3
59.836,-0.395,148,89.2,101/78,37.2
59.84,-0.43,177,89.0,104/79,36.2
59.844,-0.415,155,95.5,139/80,36.8
59.848,-0.41,146,93.2,105/70,36.8
59.852,-0.395,107,88.2,113/71,36.6
59.856,-0.35,154,91.4,102/84,36.7
59.86,-0.36,117,91.0,118/87,37.4
59.864,-0.365,134,92.5,129/84,36.2
59.868,-0.34,131,95.2,110/76,36.8
59.872,-0.34,123,93.0,110/75,36.6
59.876,-0.39,106,95.7,124/80,36.6
59.88,-0.36,112,89.2,117/83,36.2
59.884,-0.34,168,89.4,109/80,37.1
59.888,-0.36,141,94.0,116/83,37.4
59.892,-0.395,130,95.8,136/85,37.2
59.896,-0.395,173,92.6,132/80,37.3
59.9,-0.415,125,92.8,130/85,37.4
59.904,-0.45,175,88.7,125/86,37.5
59.908,-0.485,131,89.7,130/77,36.6
59.912,-0.485,151,90.7,110/72,36.2
59.916,-0.515,119,91.8,118/86,37.4
59.92,-0.545,139,93.8,101/87,36.5
59.924,-0.58,158,91.0,115/79,36.8
59.928,-0.615,176,92.3,119/79,36.7
59.932,-0.66,113,93.9,138/71,36.3
59.936,-0.69,143,95.4,132/78,37.2
59.94,-0.7,147,89.5,133/76,36.3
59.944,-0.72,142,90.6,122/73,37.0
59.948,-0.725,115,92.9,124/78,36.4
59.952,-0.69,134,93.2,105/83,37.0
59.956,-0.69,152,92.0,134/74,37.1
59.96,-0.75,133,93.8,134/76,36.2
59.964,-0.795,102,95.6,133/76,36.2
59.968,-0.835,167,92.2,122/72,36.6
59.972,-0.905,104,92.9,125/79,36.2
59.976,-0.9,109,94.0,125/70,36.2
59.98,-0.975,151,92.6,118/75,37.4
59.984,-1.05,128,88.5,111/88,36.2
59.988,-1.095,130,90.1,107/70,36.1
59.992,-1.13,165,95.4,128/73,36.8
59.996,-1.165,175,89.9,125/89,37.0
60.0,-1.19,168,93.1,135/70,36.7
60.004,-1.185,136,95.4,115/78,37.4
60.008,-1.19,126,88.6,110/72,36.9
60.012,-1.235,132,95.6,138/84,36.1
60.016,-1.28,167,93.8,114/74,37.2
60.02,-1.32,158,92.4,126/72,36.1
60.024,-1.375,163,95.9,117/85,37.1
60.028,-1.38,143,90.4,111/87,36.7
60.032,-1.405,148,95.5,103/72,36.8
60.036,-1.42,152,88.9,107/89,37.2
60.04,-1.42,173,89.2,105/82,36.6
60.044,-1.445,148,88.7,126/89,36.9
60.048,-1.455,165,90.1,102/72,37.4
60.052,-1.495,162,94.0,132/85,37.3
60.056,-1.54,124,88.1,101/76,37.3
60.06,-1.51,103,93.2,137/84,37.3
60.064,-1.455,150,95.3,127/82,36.6
60.068,-1.385,110,90.4,100/87,37.5
60.072,-1.36,116,88.2,106/73,36.7
60.076,-1.315,165,89.3,120/79,36.9
60.08,-1.29,169,95.6,107/88,37.3
60.084,-1.28,172,93.8,106/81,36.4
60.088,-1.285,168,94.0,126/76,36.3
60.092,-1.23,128,89.8,120/70,36.3
60.096,-1.23,172,88.3,130/87,36.3
60.1,-1.145,171,91.7,131/82,36.4
60.104,-1.075,119,90.5,116/80,36.4
60.108,-1.085,126,94.3,127/73,36.8
60.112,-1.055,107,95.7,115/74,37.3
60.116,-1.02,160,95.0,104/83,36.7
60.12,-0.92,127,92.8,126/72,37.4
60.124,-0.87,169,89.9,100/79,36.8
60.128,-0.84,102,94.5,110/72,36.5
60.132,-0.76,168,95.8,112/85,36.4
60.136,-0.67,172,95.6,136/71,36.5
60.14,-0.61,106,95.8,120/74,37.5
60.144,-0.59,159,90.5,106/86,37.4
60.148,-0.515,103,94.0,105/79,36.7
60.152,-0.435,104,95.6,120/70,36.6
60.156,-0.37,110,92.6,121/74,37.1
60.16,-0.335,114,92.3,116/74,36.0
60.164,-0.265,163,88.8,103/70,36.2
60.168,-0.19,112,89.0,109/75,37.0
60.172,-0.135,106,95.3,124/76,36.5
60.176,-0.08,105,88.8,133/70,36.9
60.18,-0.005,155,88.3,131/70,36.7
60.184,0.035,163,89.3,135/80,37.2
60.188,0.06,149,90.4,126/81,36.8
60.192,0.11,129,92.1,123/87,37.0
60.196,0.15,121,94.1,110/75,36.7
60.2,0.195,124,94.4,113/74,37.4
60.204,0.27,127,92.0,128/86,37.0
